epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,541.1,0.61234,0.45789,1.04971,0.95294,0.90556,0.96708,0.81685,0.56231,0.39281,1.05077,0.0016997,0.0016997,0.0016997
93,547.003,0.58973,0.42222,1.05602,0.93453,0.91667,0.96223,0.78892,0.58724,0.40651,1.04395,0.0016964,0.0016964,0.0016964
94,552.885,0.55479,0.40035,1.02972,0.95344,0.91005,0.96497,0.80628,0.57499,0.38664,1.04806,0.0016931,0.0016931,0.0016931
95,558.742,0.55763,0.40046,1.03816,0.92255,0.92648,0.9628,0.81858,0.56904,0.53343,1.05027,0.0016898,0.0016898,0.0016898
96,564.605,0.51581,0.38435,1.00569,0.93121,0.9,0.96167,0.80113,0.54299,0.48519,1.02003,0.0016865,0.0016865,0.0016865
97,570.48,0.58672,0.41632,1.05344,0.93787,0.92248,0.97184,0.8153,0.53772,0.40669,1.02847,0.0016832,0.0016832,0.0016832
98,576.352,0.56459,0.4539,1.03413,0.95218,0.92222,0.96719,0.82307,0.55698,0.40022,1.02214,0.0016799,0.0016799,0.0016799
99,582.256,0.55601,0.41195,1.01332,0.93819,0.92751,0.97118,0.82936,0.52413,0.36055,0.99169,0.0016766,0.0016766,0.0016766
100,588.253,0.49754,0.37028,1.00824,0.93797,0.90556,0.96445,0.80706,0.56588,0.39067,1.01881,0.0016733,0.0016733,0.0016733
101,594.114,0.55366,0.42062,1.02376,0.89729,0.90556,0.93382,0.76582,0.58048,0.44874,1.01976,0.00167,0.00167,0.00167
102,599.967,0.61799,0.43435,1.06,0.96608,0.94926,0.97539,0.80903,0.54869,0.34638,1.00883,0.0016667,0.0016667,0.0016667
103,605.857,0.56715,0.41464,1.05808,0.97192,0.9,0.95994,0.81448,0.56577,0.37993,1.01909,0.0016634,0.0016634,0.0016634
104,611.703,0.57932,0.39156,1.03217,0.92725,0.92054,0.96148,0.81965,0.5307,0.38787,1.00484,0.0016601,0.0016601,0.0016601
105,617.543,0.53636,0.39204,1.01765,0.9586,0.90046,0.95045,0.8024,0.56306,0.3964,1.03115,0.0016568,0.0016568,0.0016568
106,623.373,0.56107,0.3996,1.00791,0.95922,0.91467,0.96979,0.81655,0.54282,0.39628,1.00179,0.0016535,0.0016535,0.0016535
107,629.217,0.58655,0.44271,1.02321,0.90564,0.93889,0.9694,0.80997,0.54173,0.38476,1.00407,0.0016502,0.0016502,0.0016502
108,635.089,0.57341,0.4252,1.03801,0.96535,0.89444,0.96059,0.81531,0.56125,0.3805,1.0232,0.0016469,0.0016469,0.0016469
109,640.91,0.53842,0.42384,1.03259,0.94786,0.91667,0.95144,0.79638,0.56937,0.38514,1.03891,0.0016436,0.0016436,0.0016436
